timestamp,cpu,voltage,cpu_z,voltage_z,relation_signal,label,mdissid_similarity_score,mdissid_threshold,is_anomaly,mdissid_dim0_score,mdissid_dim1_score,anomaly_region_id
2025-10-16 03:19:00,32.756826000000004,12.0,-186.197832162653,1.174785691940914,-185.02304647071207,0,0.0,0.5,0,0.17142369,0.31871122,-1
2025-10-16 03:19:30,32.213796,12.0,-191.9603078492938,1.174785691940914,-190.7855221573529,0,0.0,0.5,0,0.17857291,0.30318817,-1
2025-10-16 03:20:00,37.234986,12.0,-138.67690676094898,1.174785691940914,-137.50212106900807,0,0.0,0.5,0,0.094000995,0.30470967,-1
2025-10-16 03:20:30,37.845004,12.0,-132.20357399220092,1.174785691940914,-131.02878830026,0,0.0,0.5,0,0.13084343,0.32185197,-1
2025-10-16 03:21:00,32.642407000000006,11.904,-187.4120131574226,0.0,-187.4120131574226,0,0.0,0.5,0,0.21621926,0.2861589,-1
2025-10-16 03:21:30,32.206772,12.0,-192.0348444848811,1.174785691940914,-190.86005879294018,0,0.0,0.5,0,0.22806253,0.28842774,-1
2025-10-16 03:22:00,36.889383,12.0,-142.34434481175668,1.174785691940914,-141.16955911981577,0,0.0,0.5,0,0.16689122,0.26270396,-1
2025-10-16 03:22:30,37.834242,11.904,-132.31777719154465,0.0,-132.31777719154465,0,0.0,0.5,0,0.17366637,0.27499545,-1
2025-10-16 03:23:00,33.06226100000001,11.904,-182.95664519075615,0.0,-182.95664519075615,0,0.0,0.5,0,0.23737587,0.27540383,-1
2025-10-16 03:23:30,31.859204000000005,12.0,-195.7231345415158,1.174785691940914,-194.5483488495749,0,0.0,0.5,0,0.252218,0.26610687,-1
2025-10-16 03:24:00,36.031195,12.0,-151.4511851052339,1.174785691940914,-150.27639941329298,0,0.0,0.5,0,0.18930869,0.2747733,-1
2025-10-16 03:24:30,37.849283,12.0,-132.1581664945247,1.174785691940914,-130.98338080258378,0,0.0,0.5,0,0.16125567,0.27679765,-1
2025-10-16 03:25:00,33.735597,12.0,-175.81140030752698,1.174785691940914,-174.63661461558607,0,0.0,0.5,0,0.18113323,0.2605249,-1
2025-10-16 03:25:30,31.935371000000004,12.0,-194.91487259351226,1.174785691940914,-193.74008690157135,0,0.0,0.5,0,0.21874125,0.2226598,-1
2025-10-16 03:26:00,35.46368699999999,11.904,-157.47341417540343,0.0,-157.47341417540343,0,0.0,0.5,0,0.14531709,0.19935633,-1
2025-10-16 03:26:30,37.582422,11.904,-134.99001744974382,0.0,-134.99001744974382,0,0.0,0.5,0,0.090652235,0.1664786,-1
2025-10-16 03:27:00,34.579477999999995,12.0,-166.85638171754468,1.174785691940914,-165.68159602560377,0,0.0,0.5,0,0.1563227,0.15763526,-1
2025-10-16 03:27:30,32.116141,12.0,-192.99659417450405,1.174785691940914,-191.82180848256314,0,0.0,0.5,0,0.17989141,0.15409684,-1
2025-10-16 03:28:00,34.67474300000001,12.0,-165.84545737397636,1.174785691940914,-164.67067168203545,0,0.0,0.5,0,0.1279958,0.12161303,-1
2025-10-16 03:28:30,37.415342,11.904,-136.7630215889699,0.0,-136.7630215889699,0,0.0,0.5,0,0.082986705,0.14277114,-1
2025-10-16 03:29:00,35.243615000000005,12.0,-159.80875393436764,1.174785691940914,-158.63396824242673,0,0.0,0.5,0,0.14563054,0.12954873,-1
2025-10-16 03:29:30,32.51019599999999,12.0,-188.81499765737018,1.174785691940914,-187.64021196542927,0,0.0,0.5,0,0.1821559,0.14536929,-1
2025-10-16 03:30:00,33.841598000000005,12.0,-174.6865486690178,1.174785691940914,-173.5117629770769,0,0.0,0.5,0,0.16394405,0.1418285,-1
2025-10-16 03:30:30,37.004686,12.0,-141.12078306729188,1.174785691940914,-139.94599737535097,0,0.0,0.5,0,0.09242043,0.12130021,-1
2025-10-16 03:31:00,36.309857,11.904,-148.49410538626674,0.0,-148.49410538626674,0,0.0,0.5,0,0.13793579,0.17111169,-1
2025-10-16 03:31:30,32.804222,12.0,-185.69487965976361,1.174785691940914,-184.5200939678227,0,0.0,0.5,0,0.16522709,0.17748035,-1
2025-10-16 03:32:00,32.82422,12.0,-185.482666727179,1.174785691940914,-184.3078810352381,0,0.0,0.5,0,0.15972532,0.13037023,-1
2025-10-16 03:32:30,37.194427,11.904,-139.1073070176097,0.0,-139.1073070176097,0,0.0,0.5,0,0.07442203,0.17263588,-1
2025-10-16 03:33:00,37.066794,12.0,-140.46171111924866,1.174785691940914,-139.28692542730775,0,0.0,0.5,0,0.11517379,0.18005697,-1
2025-10-16 03:33:30,32.698209000000006,12.0,-186.8198586387663,1.174785691940914,-185.6450729468254,0,0.0,0.5,0,0.16316302,0.16222574,-1
2025-10-16 03:34:00,32.279692,12.0,-191.26103875210424,1.174785691940914,-190.08625306016333,0,0.0,0.5,0,0.16240923,0.1324645,-1
